X,Y,REVISION,NOME,PROVINCIA,CONCELLO,PARROQUIA,LUGAR,X,Y,DATUM,FUSO,INTERESE,DOCUMENTO,APROBADO,PUBLICACIO,FICHA,SIOTUGA,CLASIFICAC,ID_BIC,Nivel_1,CONTORNO,POL,PBA_2018,ID_PBA_201,DUPLICADO_,XENERICO,ID_IPAGA,ID_COPRA,OBSERVACIO,TIPOLOXIA,Buffer,CodImpresi,cod_PBM,_nome,_parroquia,_concello,_coord_x,_coord_y,_lugar,_afec,_tipo_prot,_num_PINF,_num_PORD,_categoria,_tipo,_descricio,_descricic,_uso_actua,_estado_co,_clas_solo,_ord_pba,_act_aut,_act_adic,_clase,_nivel_pro,_cod_snr,_FOTO,_FOTO_2,_ID_IPAGA,icon_url
-8.00757793389091,42.3542380469358,2020/04/27,Casa grande con portalón con cruz,Ourense,Punxín,Barbantes (Santiago),Barbantes,581733.00000000000,4689585.00000000000,ETRS,29.00000000000,ART,PBA,,https://www.xunta.gal/dog/Publicados/2018/20180827/AnuncioG0422-090818-0001_gl.pdf,0.00000000000,"-",CAT,"-","-",SUB,NON,SI,37468.00000000000,"-","-","-",0.00000000000,SI.2020.069.CON: No copra está o portal e a casa por separado,Casa grande/Portada,"100",Punxín_37588,2.2-001,Casa grande con portalón con cruz,Barbantes (Santiago),Punxín,"581733","4689585",Barbantes,Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_04,32065_PBM_202204_B_PORD_01CL_05,Monumento,2. ARQUITECTÓNICO,"Trátase dun conxunto de edificacións situados nun recinto perimetrado por un muro de pedra tradicional cunha cruz na porta de acceso principal. As edificacións son todas tradicionais, con muros de pedra e cubertas a dúas ou catro augas.",O entorno no que se sitúan dentro do recinto pechado está formado por terreo natural e algunhas árbores de pequeño porte.,Residencial,malo,SNRT,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.","Procurarase a rehabilitación de tódalas cubertas, eliminando a vexetación existente en todas elas e reconstruindo o volume orixinal. Tamén se deberá actuar sobre os muros de pedra limpandoos mediante medios manuais.",Ben catalogado,Integral para tódolos elementos,0101-1-T,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.2-001.jpg,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.2-001_2.jpg,,
-8.02516160356158,42.380821417807,2020/04/27,Casa reitoral de Vilela,Ourense,Punxín,Vilela (Santa María),Barxelas,580251.00000000000,4692520.00000000000,ETRS,29.00000000000,ART,DSNR Barxelas,,https://www.xunta.gal/dog/Publicados/2013/20130116/AnuncioCA02-080113-0001_gl.html,0.00000000000,http://www.planeamentourbanistico.xunta.es/siotuga/documentos/urbanismo/PUNXIN/documents/27740me001.PDF,CAT,"-","-",SUB,NON,NON,0.00000000000,"-","-","-",39010284.00000000000,SI.2020.069.CON,Casa reitoral,"100",Punxín_37589,2.2-009,Casa reitoral de Vilela,Vilela (Santa María),Punxín,"580251","4692520",Barxelas,Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_01,32065_PBM_202204_B_PORD_01CL_01,Monumento,2. ARQUITECTÓNICO,"Casa reitoral de dúas plantas, a inferior destinada a adega, cortes..., a superior de uso residencial, con cerramento a base de sillería de formato regular. A edificación principal conta con construcións anexas.",Está situada contigua a igrexa de Vilela.,Residencial,regular,SRPP,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.",Realizaranse tarefas de limpado da pedra das fachadas e retirada da vexetación existente. Adecuarase de maneira conveniente o entorno inmediato onde se sitúa o ben.,Ben catalogado,Integral,"-",C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.2-009.jpg,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\vacio.jpg,,
-8.03105564214256,42.3482517537719,2020/04/27,Ermida de San Trocado,Ourense,Punxín,Ourantes (San Xoán),Ourantes,579807.00000000000,4688898.00000000000,ETRS,29.00000000000,ART,PBA,,https://www.xunta.gal/dog/Publicados/2018/20180827/AnuncioG0422-090818-0001_gl.pdf,0.00000000000,"-",CAT,"-","-",SUB,NON,SI,37493.00000000000,"-","-","-",39010294.00000000000,SI.2020.069.CON: S.XVIII,Ermida,"100",Punxín_37590,2.1-003,Ermida de San Trocado,Ourantes (San Xoán),Punxín,"579807","4688898","-",Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_03,32065_PBM_202204_B_PORD_01CL_06,Monumento,2. ARQUITECTÓNICO,"Trátase dunha capela de culto inmemorial erguida no Monte de Santrocado. É pequena, de construción sinxela e con un tellado prolongado na súa fachada principal e apoiado en dúas columnas con capitel moi sinxelo.","Nesta fachada existen, ó lado da porta, dúas ventás con reixas. A cuberta é a duas augas. Está orientada de norte a sur, con cabeceira cara o norte. Conserva unha inscrición dunha data (1739) na súa fachada leste.",Relixioso,bo,SRPP,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.",Adecuarase de maneira conveniente o entorno inmediato onde se sitúa o ben.,Ben catalogado,Integral,"-",C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-003.JPG,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-003_2.JPG,,
-8.00807186985026,42.3544854830126,2019/11/11,Igrexa de Barbantes (Parroquial de Santiago),Ourense,Punxín,Barbantes (Santiago),Barbantes,581692.00000000000,4689612.00000000000,ETRS,29.00000000000,ART,PBA,,https://www.xunta.gal/dog/Publicados/2018/20180827/AnuncioG0422-090818-0001_gl.pdf,0.00000000000,"-",CAT,"-","-",SUB,NON,SI,37463.00000000000,"-","-","-",0.00000000000,"-",Igrexa,"100",Punxín_37591,2.1-001,Igrexa de Barbantes (Parroquial de Santiago),Barbantes (Santiago),Punxín,"581692","4689612",Barbantes,Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_04,32065_PBM_202204_B_PORD_01CL_05,Monumento,2. ARQUITECTÓNICO,"Trátase dunha igrexa dos séculos XVIII e XIX, que contén no seu interior un retablo con imaxes do barroco. De planta rectangular orientada leste-oeste, sitúase nunha elevación sobre a vía principal do núcleo.",A portada principal está orientada cara u oeste e ten adosado un volumen nun dos laterais. Arredor da igrexa está o pequeno cementerio da parroquia.,Relixioso,bo,SNRT,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.","Adecuarase de modo conveniente o entorno inmediato onde se sitúa o ben, incluindo o acceso e prazas de aparcadoiro previas.",Ben catalogado,Integral,0101-1-T,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-001.jpg,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-001_2.jpg,,
-8.01580223778806,42.3718705866577,2019/11/11,Igrexa de Freás (Parroquial de Santa María),Ourense,Punxín,Freás (Santa María),"Pousa, A",581033.00000000000,4691535.00000000000,ETRS,29.00000000000,ART,PBA,,https://www.xunta.gal/dog/Publicados/2018/20180827/AnuncioG0422-090818-0001_gl.pdf,0.00000000000,"-",CAT,"-","-",SUB,NON,SI,37470.00000000000,"-","-","-",0.00000000000,"-",Igrexa,"100",Punxín_37592,2.1-002,Igrexa de Freás (Parroquial de Santa María),Freás (Santa María),Punxín,"581033","4691535",A Pousa,Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_04,32065_PBM_202204_B_PORD_01CL_05,Monumento,2. ARQUITECTÓNICO,"Trátase dunha igrexa do século XVIII, cun retablo maior e esculturas barrocas da Virxe das Candeas, San Roque e a Virxe das Dores. Na fachada hai unha figura gótica da Virxe co neno.","De planta rectangular, orientada leste-oeste, coa portada principal cara u oeste. Ao seu arredor sitúase o pequeño cemiterio parroquial",Relixioso,bo,SNRT,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.",Procurarase a rehabilitación das fachadas con limpeza de pedra mediante medios manuais. Adecuarase de maneira conveniente o entorno inmediato onde se sitúa o ben.,Ben catalogado,Integral,0204-1-T,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-002.jpg,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-002_2.jpg,,
-8.02056603043879,42.3591859511761,2019/11/11,Igrexa de Ourantes (Parroquial de San Xoán),Ourense,Punxín,Ourantes (San Xoán),"Eirexa, A",580657.00000000000,4690122.00000000000,ETRS,29.00000000000,ART,DSNR Rubiás,,https://www.xunta.gal/dog/Publicados/2012/20120321/AnuncioCA02-120312-13359_gl.html,0.00000000000,http://www.planeamentourbanistico.xunta.es/siotuga/documentos/urbanismo/PUNXIN/documents/27632me002.PDF,CAT,"-","-",SUB,NON,SI,37494.00000000000,"-","-","-",0.00000000000,"-",Igrexa,"100",Punxín_37593,2.1-004,Igrexa de Ourantes (Parroquial de San Xoán),Ourantes (San Xoán),Punxín,"580657","4690122",A Eirexa,Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_03,32065_PBM_202204_B_PORD_01CL_04,Monumento,2. ARQUITECTÓNICO,"Construída a finais do S.XII de orixe románico, foi moi reformada no S.XVIII principalmente no seu muro norte onde se lle adosou unha torre campanil barroca. De planta rectangular con escasa decoración. Na portada principal e lateral móstrase un exem",No muro sur da igrexa ábrese outra pequena porta modificada onde se pode ver un arco apuntado. Nesta destacan as dúas ménsulas de motivos zoomorfos.,Relixioso,bo,SRPP/SRPIN,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.",Adecuarase de modo conveniente o entorno inmediato onde se sitúa o ben.,Ben catalogado,Integral,"-",C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-004.jpg,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\vacio.jpg,,
-8.00338860624679,42.3903606109553,2019/11/11,Igrexa de Vilamoure (Parroquial de Santo Estevo),Ourense,Punxín,Vilamoure (Santo Estevo),Santo Estevo,582031.00000000000,4693600.00000000000,ETRS,29.00000000000,ART,PBA,,https://www.xunta.gal/dog/Publicados/2018/20180827/AnuncioG0422-090818-0001_gl.pdf,0.00000000000,"-",CAT,"-","-",SUB,NON,SI,37625.00000000000,"-","-","-",0.00000000000,"-",Igrexa,"100",Punxín_37595,2.1-007,Igrexa de Vilamoure (Parroquial de Santo Estevo),Vilamoure (Santo Estevo),Punxín,"582031","4693600",Santo Estevo,Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_02,32065_PBM_202204_B_PORD_01CL_02,Monumento,2. ARQUITECTÓNICO,"Trátase dunha igrexa do século XVIII que ten dúas obras de pratería atribuídas ao abade Miguel Pérez. De planta rectangular, orientada leste-oeste, coa portada principal cara o oeste.","-",Relixioso,bo,SRPP,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.","Procurarase o mantemento e rehabilitación das fachadas da igrexa, sobre todo da portada, limpando a pedra con medios manuais. Adecuarase tamén de maneira conveniente o entorno inmediato onde se sitúa o ben.",Ben catalogado,Integral,"-",C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-007.jpg,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-007_2.jpg,,
-8.02467689218935,42.3807452474609,2019/11/11,Igrexa de Vilela (Parroquial de Santa María),Ourense,Punxín,Vilela (Santa María),Barxelas,580291.00000000000,4692512.00000000000,ETRS,29.00000000000,ART,DSNR Barxelas,,https://www.xunta.gal/dog/Publicados/2013/20130116/AnuncioCA02-080113-0001_gl.html,0.00000000000,http://www.planeamentourbanistico.xunta.es/siotuga/documentos/urbanismo/PUNXIN/documents/27740me001.PDF,CAT,"-","-",SUB,NON,SI,37603.00000000000,"-","-","-",0.00000000000,"-",Igrexa,"100",Punxín_37596,2.1-008,Igrexa de Vilela (Parroquial de Santa María),Vilela (Santa María),Punxín,"580291","4692512","-",Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_01,32065_PBM_202204_B_PORD_01CL_01,Monumento,2. ARQUITECTÓNICO,"Trátase dunha igrexa de orixe románica, reformada no séxulo XVIII, cunha soa nave e ábsida rectangular. Ten esculturas barrocas de San Pedro e dúas imaxes da Virxe das Dores e do Rosario.",Detrás do templo hai un cruceiro cun peto de ánimas no pé que conserva un capitel xónico.,Relixioso,regular,SRPP,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.",Procurarase a rehabilitación das fachadas con limpeza de pedra mediante medios manuais. Adecuarase de maneira conveniente o entorno inmediato onde se sitúa o ben.,Ben catalogado,Integral,"-",C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.1-008.jpg,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\vacio.jpg,,
-8.00008107681893,42.369879316555,2019/11/11,Pazo da Forxa,Ourense,Punxín,Punxín (Santa María),"Quintás, As",582330.00000000000,4691329.00000000000,ETRS,29.00000000000,ART,PBA,,https://www.xunta.gal/dog/Publicados/2018/20180827/AnuncioG0422-090818-0001_gl.pdf,0.00000000000,"-",CAT,"-","-",SUB,NON,SI,37530.00000000000,"-",ESC,"-",39010325.00000000000,SI.2020.069.CON: Escudos,Pazo,"100",Punxín_37597,2.3-003,Pazo da Forxa,Punxín (Santa María),Punxín,"582330","4691329",A Forxa,Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_04,32065_PBM_202204_B_PORD_01CL_05,Monumento,2. ARQUITECTÓNICO,"Edificio de dúas plantas en forma de L, con patio inscrito e limitado polo edificio e o muro de peche. Ten unha torre de planta cadrada con balcón e escudo. Ten un portalón de entrada ao patio interior con cornixas curvas de pedra e un escudo de armas",Aínda que a casa ten unha inscrición de 1663 é probable que se produxeran modificacións da súa fachada en datas posteriores. No patio de entrada sitúase un cruceiro tamén catalogado.,Residencial,bo,SNRT,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.","Adecuarase de modo conveniente o entorno inmediato onde se sitúa o ben. Recuperaranse as carpinterías de madeira orixinais con retirada das de aluminio lacado colocadas ao exterior, en especial a galería SE. Recolocación da antena nun lugar menos vis",Ben catalogado,Integral,0401-1-T,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.3-003.JPG,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\vacio.jpg,,
-8.00634005379504,42.3611349091206,2019/11/11,Pazo de Souto no Outeiro,Ourense,Punxín,Barbantes (Santiago),"Enfesta, A",581826.00000000000,4690352.00000000000,ETRS,29.00000000000,ART,PBA,,https://www.xunta.gal/dog/Publicados/2018/20180827/AnuncioG0422-090818-0001_gl.pdf,0.00000000000,"-",CAT,"-","-",SUB,NON,SI,37464.00000000000,"-","-","-",39010329.00000000000,"-",Pazo,"100",Punxín_37598,2.3-001,Pazo de Souto no Outeiro,Barbantes (Santiago),Punxín,"581826","4690352",O Outeiro,Perímetro,Arquitectónico e Etnográfico,32065_PBM_202204_B_PINF_03ECN_04,32065_PBM_202204_B_PORD_01CL_05,Monumento,2. ARQUITECTÓNICO,"-","-","-",regular,SRPP,,"Investigación, Valorización, Mantemento, Conservación, Consolidación e Restauración.",Adecuarase de modo conveniente o entorno inmediato onde se sitúa o ben e os accesos ao mesmo.,Ben catalogado,Integral,"-",C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\2.3-001.jpg,C:\PBM_PUNXIN\32065_PBM_202307_AI_02EDIT\02.FONTE_DATOS\Arquivos_imaxe\2_Fotografias_Catalogo\vacio.jpg,,
