X,Y,OBJECTID,NOME_LUGAR,COD_CONCEL,COD_ES,CDGO16_11_,CONCELLO,ENTIDAD_CO,COD_ENT_CO,Home2020,Muller2020,Pob2020,NivelVisua,Etiqueta,DOT,DOTCLASIF,icon_url
-8.00260561415391,42.3642714553045,"4711","Vilerma, A","32065","1801","32065041801",Punxín,Punxín (Santa María),"3206504","8","10","18","6",A Vilerma,Resto de Asentamentos,"0",
-8.00738490868686,42.35809336671,"5776","Enfesta, A","32065","-99",3206501-99,Punxín,Barbantes (Santiago),"3206501","-1","-1","-1","8",A Enfesta,Resto de Asentamentos,"0",
-7.98107875314807,42.3837280386582,"5834","Faracho, O","32065","-99",3206504-99,Punxín,Punxín (Santa María),"3206504","-1","-1","-1","8",O Faracho,Resto de Asentamentos,"0",
-8.01318336082257,42.3712769160254,"6023","Laxa, A","32065","-99",3206502-99,Punxín,Freás (Santa María),"3206502","-1","-1","-1","8",A Laxa,Resto de Asentamentos,"0",
-8.01772432523319,42.3703544004914,"6033","Souto, O","32065","-99",3206502-99,Punxín,Freás (Santa María),"3206502","-1","-1","-1","8",O Souto,Resto de Asentamentos,"0",
-8.00518762184558,42.3527222477165,"6260","Cruceiro, O","32065","-99",3206501-99,Punxín,Barbantes (Santiago),"3206501","-1","-1","-1","8",O Cruceiro,Resto de Asentamentos,"0",
-8.01524538333554,42.3716199520078,"6513","Pousa, A","32065","0701","32065020701",Punxín,Freás (Santa María),"3206502","59","52","111","4",A Pousa,Parroquias Rurais,"1",
-7.99692774512264,42.3747558654083,"7869","Moa, A","32065","0900","32065040900",Punxín,Punxín (Santa María),"3206504","6","5","11","7",A Moa,Resto de Asentamentos,"0",
-7.99778172783246,42.3754579558738,"7967","Castiñeira, A","32065","0301","32065040301",Punxín,Punxín (Santa María),"3206504","7","9","16","7",A Castiñeira,Resto de Asentamentos,"0",
-7.9989759382572,42.3703742299383,"8493","Quintás, As","32065","1300","32065041300",Punxín,Punxín (Santa María),"3206504","4","4","8","7",As Quintás,Parroquias Rurais,"1",
-8.01220671701542,42.3731079716784,"10312","Revolta, A","32065","-99",3206502-99,Punxín,Freás (Santa María),"3206502","-1","-1","-1","8",A Revolta,Resto de Asentamentos,"0",
-8.02478004711082,42.3767091182021,"10805",Figueiroa,"32065","0300","32065050300",Punxín,Vilela (Santa María),"3206505","5","6","11","6",Figueiroa,Resto de Asentamentos,"0",
-7.99340790885293,42.3862915263783,"10839","Viñao, O","32065","1901","32065041901",Punxín,Punxín (Santa María),"3206504","37","37","74","4",O Viñao,Resto de Asentamentos,"0",
-8.02050768894438,42.3796997743339,"11570",Barxelas,"32065","0101","32065050101",Punxín,Vilela (Santa María),"3206505","8","6","14","5",Barxelas,Resto de Asentamentos,"0",
-8.01940903163906,42.3804932621111,"12289","Chao, O","32065","0200","32065050200",Punxín,Vilela (Santa María),"3206505","2","4","6","6",O Chao,Resto de Asentamentos,"0",
-8.01507549319589,42.3729248867385,"12924","Pazo, O","32065","-99",3206502-99,Punxín,Freás (Santa María),"3206502","-1","-1","-1","8",O Pazo,Resto de Asentamentos,"0",
-8.00750698497365,42.3549195458317,"13232",Lugar de Abaixo,"32065","-99",3206501-99,Punxín,Barbantes (Santiago),"3206501","-1","-1","-1","8",Lugar de Abaixo,Parroquias Rurais,"1",
-8.00781215589953,42.3524781434994,"13699",Peimogo,"32065","-99",3206501-99,Punxín,Barbantes (Santiago),"3206501","-1","-1","-1","8",Peimogo,Resto de Asentamentos,"0",
-8.01519747364144,42.3746948842104,"14042",Cabo,"32065","-99",3206502-99,Punxín,Freás (Santa María),"3206502","-1","-1","-1","8",Cabo,Resto de Asentamentos,"0",
-8.01672335954523,42.3734741661091,"14441","Orxeira, A","32065","-99",3206502-99,Punxín,Freás (Santa María),"3206502","-1","-1","-1","8",A Orxeira,Resto de Asentamentos,"0",
-8.01177956803287,42.3746949219123,"14621","Carballeira, A","32065","-99",3206502-99,Punxín,Freás (Santa María),"3206502","-1","-1","-1","8",A Carballeira,Resto de Asentamentos,"0",
-8.00891082772117,42.3558960505405,"16063","Costa, A","32065","-99",3206501-99,Punxín,Barbantes (Santiago),"3206501","-1","-1","-1","8",A Costa,Parroquias Rurais,"1",
-8.00421113720297,42.3892822744751,"18839",Santo Estevo,"32065","0201","32065060201",Punxín,Vilamoure (Santo Estevo),"3206506","11","13","24","5",Santo Estevo,Parroquias Rurais,"1",
